sim_day_index,partition,prior_status,corrected_status,prior_runoff_m,corrected_runoff_m,prior_peakro_m_s,corrected_peakro_m_s,prior_flux_ratio,corrected_flux_ratio
268,clean_to_clean,clean,clean,1.10449527892339250e-02,8.26855103301182837e-03,6.77343103749624109e-06,4.60429113262555895e-06,3.48353664812845213e-04,1.44635100866141015e-04
283,clean_to_clean,clean,clean,3.14669994650479123e-02,2.53379016636267676e-02,8.23826901593483841e-06,5.09944387080455588e-06,3.95759351083515860e-04,1.37228091594839550e-04
318,clean_to_clean,clean,clean,6.59013366090249464e-02,6.59013366090249603e-02,4.46311312333441957e-06,3.00902157889302222e-06,1.46840405682437401e-04,1.71492120943001223e-04
319,refused_to_clean,refused,clean,1.63985508991518758e-02,1.63985508991518758e-02,6.42989548580455179e-07,4.84565310499450580e-07,9.22556520668956458e-03,8.12580583174363430e-04
321,refused_to_refused,refused,refused,1.76998973659211363e-02,1.76998973659211328e-02,8.58284083992276514e-07,6.26342011141523189e-07,5.18640458416385394e-03,7.74069077183014292e-03
322,clean_to_refused,clean,refused,2.95967805571877088e-02,2.95967805571877088e-02,1.61802817751379774e-06,8.77947393299287726e-07,3.91063091640854628e-03,5.69752693883817871e-03
323,refused_to_refused,refused,refused,1.22970657216730003e-02,1.17014331314562667e-02,9.67029398078217495e-07,6.41987064997407908e-07,8.01138313015843130e-03,9.13256068458156989e-03
328,refused_to_refused,refused,refused,1.33765613881190720e-02,1.39587376205498066e-02,9.39197928240031502e-07,4.35637514706545793e-07,7.29943728131173582e-03,5.43584718534390315e-03
329,clean_to_clean,clean,clean,1.87503543354270337e-02,1.87503543354270302e-02,1.12486915106092753e-06,4.86722200952364135e-07,1.94924329481815494e-04,8.48875849120358356e-04
334,clean_to_clean,clean,clean,1.03201861417528285e-02,1.03201861417528250e-02,1.30336056963802237e-06,7.19488580243175566e-07,1.95497060259338117e-04,3.77684439220312828e-04
349,refused_to_clean,refused,clean,1.26019676268563936e-02,1.26019676268563936e-02,8.58443047915110671e-07,3.01613321257109270e-07,5.19050929420832464e-03,1.12155684031088588e-03
350,clean_to_clean,clean,clean,2.76025807574992108e-02,2.76025807574992108e-02,2.51665657366005158e-06,1.12265870705327910e-06,1.81087260332477875e-04,1.94910391669891685e-04
351,refused_to_refused,refused,refused,1.36024335108351022e-02,1.36024335108351022e-02,8.51592451297017676e-07,3.27131859551556262e-07,5.01412814799835366e-03,5.06277129683215497e-03
353,clean_to_clean,clean,clean,4.60950560781481430e-02,4.60950560781481430e-02,3.57276496220666722e-06,2.09526658612446831e-06,1.43371112442214452e-03,3.60941877777528654e-03
354,clean_to_clean,clean,clean,6.99974978017748606e-02,6.99974978017748606e-02,2.31875489605640435e-06,2.10314398771247439e-06,1.84488002865958542e-04,3.59866613391178610e-03
359,clean_to_refused,clean,refused,1.85441205428999271e-02,1.85441205428999271e-02,1.39501139401593335e-06,9.52807736812119321e-07,3.54375946486289780e-03,7.64984029090903100e-03
365,clean_to_refused,clean,refused,1.56037342080527740e-02,1.56037342080527740e-02,7.95693698577275897e-07,4.54071740921413399e-07,6.08996262640882345e-04,8.78932314474336653e-03
366,clean_to_clean,clean,clean,1.74037342080527804e-02,1.74037342080527804e-02,1.67967846292761246e-06,1.23345081265545146e-06,3.93643584934383079e-03,1.95398102254067574e-04
367,clean_to_clean,clean,clean,4.36039772892948402e-02,4.36039772892948402e-02,3.91853718292302560e-06,3.00245910348880454e-06,1.16776028219882323e-03,1.71619163027673119e-04
368,clean_to_clean,clean,clean,1.79041437483458341e-02,1.79041437483458341e-02,2.23141388336351012e-06,1.56073204589321682e-06,1.85952927039991915e-04,3.86043022883657315e-03
369,clean_to_clean,clean,clean,2.37999548230377993e-02,2.37999548230377993e-02,1.40093301937628150e-06,7.64085365624295552e-07,3.55997417936911378e-03,4.99690285422267969e-04
371,refused_to_clean,refused,clean,1.96991372309755185e-02,1.96991372309755150e-02,9.09410626404505596e-07,7.34947440743861242e-07,6.52245619896708786e-03,4.15718945820084504e-04
376,refused_to_refused,refused,refused,1.50941504020745999e-02,1.50941504020745965e-02,4.32689253502017087e-07,3.47309728753278864e-07,5.00514543565580040e-03,1.39542185145393374e-02
377,clean_to_clean,clean,clean,7.11087706183330254e-02,7.11087706183330254e-02,3.21991725599383804e-06,3.10024703724406178e-06,1.80195782588400363e-03,1.95630359336605806e-03
378,clean_to_clean,clean,clean,1.28411844417849041e-02,1.28411844417851782e-02,1.14161795328182778e-06,7.60117510633036876e-07,1.95024357839089897e-04,4.87304204882567436e-04
397,clean_to_refused,clean,refused,1.26066024075158229e-02,1.26066024075158229e-02,1.50983133451993602e-06,9.49001617153688494e-07,3.79196426706926784e-03,7.55223867113619281e-03
398,clean_to_clean,clean,clean,2.38382905956993282e-02,2.38382905956993282e-02,1.14221529163274519e-06,7.36193185030399578e-07,1.95027743175945115e-04,4.18978999867169663e-04
399,clean_to_clean,clean,clean,1.50374790808258628e-02,1.49713428524777589e-02,1.52949209858207390e-06,7.47760525624797461e-07,3.82122334427101784e-03,4.50653842567293086e-04
410,clean_to_clean,clean,clean,2.86017809337296355e-02,2.92993249218464445e-02,1.88837317873574118e-06,1.61131938596742730e-06,3.84877845483912401e-03,3.90612563707742671e-03
411,clean_to_clean,clean,clean,5.17023171807174525e-02,5.17023171807174525e-02,5.01376304793414230e-06,3.33287912384231420e-06,1.38473674923893534e-04,1.67110465618661619e-03
412,clean_to_clean,clean,clean,2.34981826103721550e-02,2.33639198516713831e-02,1.47043963211353240e-06,1.11964594826672630e-06,3.72211218020085518e-03,1.94891118527634906e-04
415,clean_to_refused,clean,refused,2.62999437628475552e-02,2.29285633903089855e-02,1.59094601235464203e-06,8.61062004101996239e-07,3.89026045775257888e-03,5.25821018164511315e-03
416,refused_to_refused,refused,refused,1.03033793001901467e-02,1.43468253761464271e-02,6.17664357444186423e-07,4.69072954387383503e-07,7.01923522386726541e-03,1.24512928824112613e-02
418,clean_to_clean,clean,clean,2.15035427751676250e-02,2.15035427751676250e-02,1.41271150051837764e-06,7.58548436857893886e-07,3.59108385374522525e-03,4.82488983769900821e-04
446,clean_to_clean,clean,clean,1.38920165094320730e-02,1.38920165094320730e-02,7.82368609069075292e-07,5.65198334515803675e-07,5.60625800748512453e-04,3.51270673227248005e-03
626,clean_to_clean,clean,clean,2.96485581492402089e-02,2.96909009190414706e-02,6.13656681378712954e-06,4.81422712331363071e-06,8.33354226739102554e-04,1.41432758030124277e-04
635,clean_to_absent,clean,absent,1.19609706883986640e-02,,5.36084450825837012e-06,,1.33519672241400695e-04,
667,clean_to_clean,clean,clean,1.56742350162958968e-02,2.02634607576535897e-02,2.00721886201936492e-06,1.53470207518872138e-06,3.72280467210391259e-03,3.82837337599325036e-03
673,clean_to_clean,clean,clean,2.49019625106608293e-02,2.49019625106608224e-02,2.06493048248636097e-06,1.33451686822567126e-06,3.64997694485858599e-03,1.95494513314165773e-04
674,clean_to_clean,clean,clean,1.11471914910463103e-02,1.11471914910460344e-02,8.05221036012083354e-07,5.55655112847848896e-07,6.45583700656229896e-04,3.03324827361146302e-03
675,clean_to_clean,clean,clean,2.03056520307551974e-02,2.03056520307551940e-02,1.53952472115893836e-06,8.12889271839105061e-07,3.83477111927178413e-03,6.76219301263217320e-04
678,clean_to_refused,clean,refused,1.60405037364462384e-02,1.60483169166144926e-02,1.26724807366422748e-06,8.97307856827971620e-07,1.95462181995343065e-04,6.20487657747046447e-03
679,clean_to_clean,clean,clean,4.37057891719672686e-02,4.37057891719675462e-02,3.22216680912457570e-06,2.06764420128675077e-06,1.79921743630852889e-03,3.64640697375942253e-03
680,clean_to_clean,clean,clean,3.37756146969786786e-02,3.37756146969784010e-02,3.73366126011819710e-06,2.28784769224301220e-06,1.30025701139182214e-03,1.85010710433765980e-04
681,clean_to_refused,clean,refused,2.10100824410533564e-02,2.10100824407007114e-02,1.36580927240567974e-06,9.04108751449706980e-07,1.95460194080283097e-04,6.38337078540026845e-03
684,clean_to_clean,clean,clean,1.25367900080988470e-02,1.25367900080988436e-02,1.16974937905551737e-06,7.58786936132890982e-07,1.95170178845330923e-04,4.83217871676607988e-04
688,clean_to_clean,clean,clean,1.15259460096979755e-02,1.15259460096979755e-02,1.13840145767858506e-06,8.01105163368555928e-07,1.95005913125163285e-04,6.29575271699601784e-04
692,clean_to_refused,clean,refused,1.84952256125755880e-02,1.53666673665267053e-02,2.83350872231386355e-06,4.66303330315583773e-07,1.74918026957806872e-04,1.17082464128508562e-02
695,clean_to_clean,clean,clean,1.06675555682719091e-02,1.17901185457229708e-02,6.86764434649541797e-07,5.45512458092313768e-07,3.11497296159189664e-04,2.57353918894470592e-03
696,clean_to_clean,clean,clean,1.26479288279358754e-02,1.44030370976486050e-02,1.41937776995787510e-06,8.32281769729078630e-07,3.60802207267862463e-03,4.52378281820141944e-03
708,refused_to_absent,refused,absent,1.60729949606721115e-02,,6.19077611234054075e-07,,7.13418240265092929e-03,
709,clean_to_clean,clean,clean,1.06580624849135133e-02,1.14588522600339859e-02,1.14586575708845532e-06,3.20817365518554742e-07,1.95048159135793241e-04,3.55662675259149196e-03
710,clean_to_clean,clean,clean,5.06656472909618877e-02,5.76286847891413281e-02,3.12272789984053818e-06,6.84676234846288469e-07,1.92597992423318540e-03,3.07905847963759458e-04
711,clean_to_clean,clean,clean,1.94134811520653219e-02,1.94134811520653219e-02,7.55911817594802653e-07,3.57532628089045083e-07,4.74503391040197273e-04,4.21113199815040360e-04
712,refused_to_refused,refused,refused,1.36887091714727720e-02,1.36365260486078273e-02,1.01384249377390925e-06,3.40279746408059716e-07,9.14721935905505115e-03,1.00017673436642238e-02
715,refused_to_refused,refused,refused,1.61831112020543039e-02,1.61830995794433122e-02,3.48570950479120966e-07,3.48570700206849418e-07,1.47803605527459334e-02,1.47801927091294107e-02
718,clean_to_clean,clean,clean,4.87060997467434545e-02,4.87060997467434545e-02,2.02784548436535932e-06,1.57516281105166632e-06,3.69749403985055120e-03,3.87564057448452470e-03
719,refused_to_refused,refused,refused,1.77038117198929680e-02,1.77038117198929645e-02,6.47121108750688385e-07,4.45858772209815079e-07,9.61351349450812777e-03,7.14845290782877875e-03
721,clean_to_clean,clean,clean,2.61004305486720045e-02,2.61004305486719941e-02,2.18211265150368357e-06,1.37128226043435842e-06,1.86761338018629684e-04,1.95450989399005467e-04
722,clean_to_refused,clean,refused,2.58033618137256185e-02,2.58033618137256185e-02,1.42402572939462640e-06,6.03950350447821823e-07,3.61954799467579082e-03,5.95681913942702583e-03
733,clean_to_clean,clean,clean,1.28926141944161344e-02,1.28596754331300814e-02,3.72077534482908977e-07,3.71229046045304990e-07,6.79091809958118093e-04,6.59507328674136342e-04
734,clean_to_clean,clean,clean,2.89290760905047718e-02,2.89028959944891764e-02,5.35868301155491874e-07,5.35407851599462039e-07,2.17798070822818480e-03,2.16027486414451051e-03
735,refused_to_refused,refused,refused,6.13974104883668742e-02,6.13439228780708126e-02,9.20038548352646549e-07,9.19260542147311359e-07,6.80078792794577228e-03,6.78044334221611887e-03
736,clean_to_clean,clean,clean,6.10602953376074148e-02,6.09452866545152766e-02,1.54110235942417095e-06,1.53827466486497877e-06,3.83681838408384468e-03,3.83313292441204772e-03
737,refused_to_refused,refused,refused,2.58874308377988645e-02,2.58373182742639811e-02,6.23831138141310447e-07,6.22689537075358126e-07,7.52811837972905146e-03,7.43249059670231162e-03
738,clean_to_clean,clean,clean,1.22613685840292849e-02,1.22307275100112609e-02,2.99714092247007773e-07,2.99048184020118407e-07,9.98696648677512835e-04,9.59029182385952609e-04
740,clean_to_clean,clean,clean,2.09870821052204060e-02,2.09299779412804102e-02,7.57774399800213689e-07,7.55714340784206240e-07,4.80130889615828919e-04,4.73910625854005849e-04
742,absent_to_clean,absent,clean,,3.45073162567333044e-02,,1.06534573571654835e-06,,1.94492005058090551e-04
743,clean_to_refused,clean,refused,2.99491019843423148e-02,4.32010012282721331e-02,1.15554658498724145e-06,1.01747013339834390e-06,1.95100032814430425e-04,9.23115320182294093e-03
750,absent_to_refused,absent,refused,,1.01580190834428090e-02,,4.73939665300271562e-07,,1.38304039636425822e-02
789,clean_to_clean,clean,clean,2.54961265545682395e-02,2.54961265545685170e-02,1.83102468464803367e-06,1.83102468464803494e-06,3.89414861057069649e-03,3.89414861057049309e-03
790,clean_to_clean,clean,clean,2.38888428000966525e-02,2.38888428000966525e-02,2.66310022799774091e-06,1.79808068715698646e-06,1.78295632637424109e-04,3.91449780087037725e-03
791,clean_to_clean,clean,clean,2.28926247343559236e-02,2.28926247343559236e-02,3.22436696738162871e-06,1.96896453609231708e-06,1.79654271435614578e-03,3.76732816182275129e-03
802,clean_to_clean,clean,clean,1.64073169634202064e-02,1.64073169730716700e-02,1.92539567429815390e-06,1.62875420331545029e-06,3.81365721111673849e-03,3.91711442019326405e-03
803,clean_to_clean,clean,clean,2.06470180002326469e-02,2.06470180002326469e-02,2.54805104496510307e-06,1.45437585275113830e-06,1.80538611698161170e-04,3.68915745022365890e-03
804,clean_to_clean,clean,clean,1.80592135205492402e-02,1.80592135205492402e-02,2.68356491509293256e-06,1.53774379661589879e-06,1.77887616952058939e-04,3.83243292807070512e-03
830,clean_to_absent,clean,absent,2.66260693769215656e-02,,4.56847190125673230e-06,,1.45190669140562930e-04,
831,clean_to_absent,clean,absent,1.80877724316953099e-02,,1.86316856458346372e-06,,3.87016787271812204e-03,
832,clean_to_absent,clean,absent,2.11847354692809055e-02,,2.40083623531911903e-06,,1.83089090502900145e-04,
833,clean_to_clean,clean,clean,1.36648456901853916e-02,1.37747412588337392e-02,1.30263795645176827e-06,5.74187017903860878e-07,1.95496738057240568e-04,4.00680763177870686e-03
834,absent_to_clean,absent,clean,,2.09453901877118855e-02,,5.61110796411549488e-07,,3.30166671239592955e-03
840,clean_to_clean,clean,clean,1.12997067237867350e-02,1.12997067237867350e-02,1.87409339765090465e-06,1.41870889995678074e-06,3.86116233212508569e-03,3.60634425375630681e-03
852,clean_to_clean,clean,clean,1.47036109482624276e-02,1.47036109482624241e-02,4.17604484907876631e-06,2.45034049321975793e-06,1.01357761481192304e-03,1.82238285100497720e-04
855,clean_to_clean,clean,clean,3.30581394856677563e-02,3.30581394855522862e-02,6.72861920023881376e-06,5.10118160367840037e-06,3.53160741263453437e-04,1.37202983957926698e-04
856,clean_to_clean,clean,clean,3.88278272883551198e-02,3.88278272883551129e-02,4.87373114278831590e-06,3.52887227165053538e-06,1.40541738912580450e-04,1.47346338560160181e-03
857,clean_to_clean,clean,clean,2.33471775331960188e-02,2.33471775331960188e-02,4.15558948761500961e-06,8.05315744924504044e-07,1.02470339416079088e-03,6.45955663538663608e-04
862,clean_to_clean,clean,clean,1.21051169953847928e-02,1.21051169953850721e-02,2.93679989948444286e-06,1.63779098384366114e-06,1.72894853872561973e-04,3.92190335649040753e-03
863,clean_to_clean,clean,clean,2.27908106881262867e-02,2.27908106881262833e-02,5.19177614014899251e-06,1.64556794402843568e-06,1.35902502344463797e-04,3.92554197080141436e-03
864,clean_to_clean,clean,clean,1.00202460959852666e-02,1.00202460959852666e-02,4.39256707278008269e-06,3.37566752342907699e-06,9.04922028114564340e-04,1.62494894165425324e-03
891,clean_to_clean,clean,clean,1.30068176020438631e-02,1.30068176015246603e-02,4.05936337654226008e-06,4.05936337653869661e-06,1.07951891398846002e-03,1.07951891399047251e-03
892,clean_to_clean,clean,clean,2.51082725069397238e-02,2.51082725058422995e-02,2.80397670217128334e-06,2.10603479195378740e-06,1.75499970248497913e-04,3.59469883373612561e-03
893,clean_to_clean,clean,clean,1.61552528566182019e-02,1.61552528577159071e-02,3.72314052740114139e-06,3.01626865522615201e-06,1.30843284844624100e-03,1.71351924328112565e-04
1024,clean_to_absent,clean,absent,1.08735914531100861e-02,,2.84694347008590242e-06,,1.74653790518077576e-04,
1036,absent_to_refused,absent,refused,,1.18117252481651155e-02,,3.47512724567317258e-07,,1.40845547829023636e-02
1038,clean_to_clean,clean,clean,1.02803570725836971e-01,1.02803570725836985e-01,4.22463157737531421e-06,2.70750689695830930e-06,9.87852673715510247e-04,1.77411057252815647e-04
1039,clean_to_refused,clean,refused,2.24750687637073968e-02,2.24750687637073968e-02,1.45243085606781661e-06,8.60613357990999990e-07,3.68498679300741181e-03,5.24660267924105875e-03
1040,clean_to_refused,clean,refused,2.98131778193305996e-02,2.72445724341982415e-02,2.54425867330655546e-06,9.57692557486100303e-07,1.80604999468265265e-04,7.77460668798041470e-03
1041,refused_to_refused,refused,refused,1.14002555590655072e-02,1.39688609441978671e-02,9.67152951065824134e-07,6.77802768934883582e-07,8.01450036455824029e-03,1.26966736297339945e-02
1064,refused_to_refused,refused,refused,3.33856787105169320e-02,3.33379664086064231e-02,1.04228362157729355e-06,1.04079446939199372e-06,9.79251565437360902e-03,9.75948145488113837e-03
1072,absent_to_clean,absent,clean,,2.92553816825797119e-02,,7.74368412361947794e-07,,5.33183757526325530e-04
1073,clean_to_clean,clean,clean,1.49492128115660209e-02,1.49283613248938334e-02,5.19352730860307123e-07,5.18628715117800237e-07,1.60848592072270901e-03,1.58688424788925556e-03
1074,clean_to_clean,clean,clean,3.53701710796945901e-02,3.53296447516527959e-02,1.11674325592899665e-06,1.11546401273102888e-06,1.94872248005055498e-04,1.94863837686427393e-04
1075,refused_to_refused,refused,refused,1.43967960492557921e-02,1.43788169697760520e-02,4.70703621613694328e-07,4.70116066079769752e-07,1.29023198629887609e-02,1.27385324133013796e-02
1088,absent_to_clean,absent,clean,,4.42924709314156603e-02,,1.16565522061612996e-06,,1.95150684695616312e-04
1090,clean_to_refused,clean,refused,4.13055477322076675e-02,4.13055477322076675e-02,1.38163262637830145e-06,1.04425334809346740e-06,1.95431015806134159e-04,9.83607697772857781e-03
1091,clean_to_clean,clean,clean,6.54050192821888782e-02,6.54050192821888782e-02,3.78564539318844285e-06,2.34182710419360995e-06,1.26090965870503404e-03,1.84095044300192073e-04
1092,clean_to_refused,clean,refused,2.53015591839839266e-02,2.08253688655083424e-02,1.35441231765293133e-06,2.59007731582435699e-07,1.95476321807564954e-04,9.53910233953049642e-03
1093,clean_to_refused,clean,refused,3.83035635348077941e-02,4.28692763958404832e-02,3.19802494161038409e-06,6.36899493872382267e-07,1.82892635051841467e-03,8.66750578215784266e-03
1094,clean_to_refused,clean,refused,2.56036305559559155e-02,2.56036305559559155e-02,1.11163386720394140e-06,6.71376855940160243e-07,1.94838313191450632e-04,1.20218587917845007e-02
1110,clean_to_clean,clean,clean,1.28110822153151786e-02,1.28110822153151786e-02,7.61295749663364711e-07,4.12204473151945983e-07,4.90950881128755985e-04,2.69832221955772656e-03
1131,absent_to_clean,absent,clean,,1.01468165354461990e-02,,1.14506244106659021e-06,,1.95043706633597064e-04
1133,clean_to_refused,clean,refused,1.27398707382153868e-02,1.27398707382153868e-02,8.33628944234210554e-07,6.64027459906480252e-07,4.55760807611191917e-03,1.12703451534406467e-02
1154,refused_to_refused,refused,refused,2.09539205463710188e-02,2.09539205463733780e-02,6.67357145352521383e-07,6.67357145352523500e-07,1.16080933364005358e-02,1.16080933364007283e-02
1159,refused_to_refused,refused,refused,1.23792674832788226e-02,1.23792674832788226e-02,4.53063761388755346e-07,4.53063761388755346e-07,8.57458015479596429e-03,8.57458015479596429e-03
1160,clean_to_clean,clean,clean,1.43296901527969062e-02,1.43296901527969062e-02,2.83032914249663063e-07,2.83032914249663063e-07,5.30994921670158507e-04,5.30994921670158507e-04
1177,clean_to_absent,clean,absent,1.44038625205085806e-02,,4.07931431054295456e-06,,1.06780732145870475e-03,
1185,clean_to_clean,clean,clean,1.68153343588609144e-02,1.68153343588609144e-02,2.36375608805239331e-06,1.24345241300665482e-06,1.83720747498126693e-04,1.95421126677518801e-04
1186,clean_to_clean,clean,clean,2.92158298289252466e-02,2.74305793648966650e-02,1.68034140509295465e-06,1.35450449943323324e-06,3.93656864257727317e-03,1.95476207931662052e-04
1187,clean_to_clean,clean,clean,2.02751049949448578e-02,1.16177399624256255e-02,1.13771035512925014e-06,5.26092002058707249e-07,1.95001902585858577e-04,1.82453609594066045e-03
1189,absent_to_refused,absent,refused,,1.33519650185810017e-02,,5.93253016447703847e-07,,5.19656474138754411e-03
1191,clean_to_clean,clean,clean,1.10322726929550068e-02,1.10322726929550068e-02,1.52326437634045456e-06,1.05231637922323499e-06,3.81234746839976451e-03,1.94385223773346359e-04
1195,clean_to_clean,clean,clean,2.52178486713643436e-02,2.52178486713643436e-02,2.32701290401740539e-06,2.32701290401740539e-06,1.84347615144058482e-04,1.84347615144058482e-04
1196,refused_to_clean,refused,clean,1.00116283023163125e-02,1.00116283023163125e-02,9.36490106194926373e-07,4.30330310186697631e-07,7.22929310036640044e-03,4.67979463435819979e-03
1204,clean_to_refused,clean,refused,1.19142496978446831e-02,1.19142496978446831e-02,1.26023355302646753e-06,6.59747803100839682e-07,1.95452078630076691e-04,1.08430051730733796e-02
1205,clean_to_refused,clean,refused,2.24816623914960816e-02,2.24816623914960816e-02,1.76288065930658794e-06,9.99346384047249639e-07,3.93099586192232047e-03,8.80743155340254699e-03
1206,refused_to_clean,refused,clean,1.14585726311223768e-02,1.14585726311223768e-02,9.53910225720269403e-07,8.17140381469836923e-07,7.67804976272286766e-03,6.93651339798348411e-04
1378,clean_to_clean,clean,clean,1.42405421935516835e-02,1.42670082016820576e-02,2.62543619065142009e-06,2.47572404041173830e-06,1.79048110462241361e-04,1.81799102430690515e-04
1401,absent_to_clean,absent,clean,,1.08323939628475387e-02,,8.09211271400028498e-07,,6.61394452849021998e-04
1403,clean_to_clean,clean,clean,7.27507180795586850e-02,7.27507180805870984e-02,5.66944266562485913e-06,4.50806517704773145e-06,1.02435908677759994e-03,1.46133686197141485e-04
1404,refused_to_refused,refused,refused,1.39300894300715284e-02,1.39300894300715232e-02,1.03814882896121378e-06,6.71785373563014918e-07,9.70057991549920506e-03,1.20642732808092668e-02
1405,clean_to_clean,clean,clean,3.28251839612335172e-02,3.28251839612338434e-02,2.04085806888819637e-06,1.31518304327331628e-06,3.68110117152996861e-03,1.95499864011399013e-04
1406,refused_to_clean,refused,clean,1.29274997088309022e-02,1.29274997088308988e-02,6.49781755456573098e-07,5.19822546770278345e-07,9.86724201106488688e-03,1.62262875247709526e-03
1430,clean_to_clean,clean,clean,3.01213232746854465e-02,3.01223398660184598e-02,1.93400086596577860e-06,1.44082480496102602e-06,3.80491169282760064e-03,3.65927910147848022e-03
1431,clean_to_clean,clean,clean,6.05699527897152687e-02,6.05699527897150050e-02,3.04193047116432581e-06,2.36297546109592510e-06,1.70856327029169958e-04,1.83733988532832303e-04
1432,clean_to_clean,clean,clean,9.01843449508198114e-02,9.01843449508198114e-02,2.07172658862933478e-06,1.57258285359923297e-06,3.64101416239980295e-03,3.87305210836572837e-03
1433,clean_to_clean,clean,clean,1.84605944552605795e-02,1.84605944552605761e-02,1.19350296306995046e-06,7.11206141425544804e-07,1.95271693402991907e-04,3.59125827804330957e-04
1435,clean_to_clean,clean,clean,2.46330473342550316e-02,2.46330473342550316e-02,7.83777619249447431e-07,5.44380870523294931e-07,5.65583931857905004e-04,2.52465856829178206e-03
1436,refused_to_refused,refused,refused,2.71538415694110614e-02,2.71538415694110614e-02,1.05031477917572213e-06,9.06099319295176330e-07,9.96916186123074539e-03,6.43560124022526416e-03
1438,refused_to_absent,refused,absent,1.09630961191734943e-02,,9.04619515340540330e-07,,6.39677372485619820e-03,
1439,clean_to_clean,clean,clean,4.60408233626669605e-02,5.32397353916740507e-02,3.56753756236226480e-06,1.51116950280322011e-06,1.43836580274698698e-03,3.79407147070496024e-03
1464,clean_to_clean,clean,clean,2.00041819764532301e-02,2.00041819764532301e-02,1.49602629623905159e-06,1.11858172391515267e-06,3.76922009257764671e-03,1.94884234310993174e-04
1468,absent_to_refused,absent,refused,,2.45971421203363579e-02,,8.54258803129123582e-07,,5.08264945956483395e-03
1469,absent_to_clean,absent,clean,,3.21577283523585694e-02,,3.72284963862385048e-07,,6.83978821928330968e-04
1472,refused_to_refused,refused,refused,2.48866523897828089e-02,2.44997027848646264e-02,8.86540318896264764e-07,9.18721067370261040e-07,5.92243094632024202e-03,6.76633293981750410e-03
1474,refused_to_refused,refused,refused,1.18279586815503886e-02,1.03895472658590386e-02,3.34710421478928366e-07,3.41565552907531712e-07,7.56573514023145370e-03,1.06471563203688769e-02
1476,refused_to_refused,refused,refused,2.47191773489502317e-02,2.46597025128991662e-02,4.52042483006142866e-07,4.50955583283413175e-07,8.36087861341530333e-03,8.13769573512145884e-03
