target_id,arm_id,quantity,reported_value,reconstructed_value,unit,tolerance,classification
HB-RUN-RP-011,hubbard_hardwood_095,daily_runoff_return_level,63.0,32.7,mm,3.1500000000000004,CONTRADICTED
SEF-RUN-RP-010,santee_constant,daily_runoff_return_level,141.0,95.6,mm,7.050000000000001,CONTRADICTED
SEF-RUN-RP-011,santee_mixed,daily_runoff_return_level,137.0,133.8,mm,6.8500000000000005,PASS_BOUNDED
HB-RUN-RP-013,hubbard_constant,daily_runoff_return_level,68.0,10.2,mm,3.4000000000000004,CONTRADICTED
HB-RUN-RP-014,hubbard_hardwood_095,daily_runoff_return_level,64.0,36.9,mm,3.2,CONTRADICTED
SEF-RUN-RP-013,santee_constant,daily_runoff_return_level,142.0,97.5,mm,7.1000000000000005,CONTRADICTED
SEF-RUN-RP-014,santee_mixed,daily_runoff_return_level,140.0,134.5,mm,7.0,PASS_BOUNDED
HB-RUN-RP-016,hubbard_constant,daily_runoff_return_level,75.0,30.6,mm,3.75,CONTRADICTED
HB-RUN-RP-017,hubbard_hardwood_095,daily_runoff_return_level,78.0,47.5,mm,3.9000000000000004,CONTRADICTED
SEF-RUN-RP-016,santee_constant,daily_runoff_return_level,159.0,120.1,mm,7.95,CONTRADICTED
SEF-RUN-RP-017,santee_mixed,daily_runoff_return_level,152.0,157.6,mm,7.6000000000000005,PASS_BOUNDED
HB-PEAK-RP-001,hubbard_constant,peak_runoff_rate_return_level,0.1,0.0,mm/h,1.0,PASS_BOUNDED
HB-PEAK-RP-002,hubbard_hardwood_095,peak_runoff_rate_return_level,0.1,0.131,mm/h,1.0,PASS_BOUNDED
SEF-PEAK-RP-001,santee_constant,peak_runoff_rate_return_level,22.0,5.218,mm/h,1.1,CONTRADICTED
SEF-PEAK-RP-002,santee_mixed,peak_runoff_rate_return_level,18.0,23.188,mm/h,1.0,CONTRADICTED
HB-PEAK-RP-003,hubbard_constant,peak_runoff_rate_return_level,3.0,0.0,mm/h,1.0,CONTRADICTED
HB-PEAK-RP-004,hubbard_hardwood_095,peak_runoff_rate_return_level,3.0,1.375,mm/h,1.0,CONTRADICTED
SEF-PEAK-RP-003,santee_constant,peak_runoff_rate_return_level,31.0,15.731,mm/h,1.55,CONTRADICTED
SEF-PEAK-RP-004,santee_mixed,peak_runoff_rate_return_level,27.0,37.285,mm/h,1.35,CONTRADICTED
HB-PEAK-RP-005,hubbard_constant,peak_runoff_rate_return_level,6.0,0.0,mm/h,1.0,CONTRADICTED
HB-PEAK-RP-006,hubbard_hardwood_095,peak_runoff_rate_return_level,19.0,6.195,mm/h,1.0,CONTRADICTED
SEF-PEAK-RP-005,santee_constant,peak_runoff_rate_return_level,48.0,30.137,mm/h,2.4000000000000004,CONTRADICTED
SEF-PEAK-RP-006,santee_mixed,peak_runoff_rate_return_level,43.0,45.731,mm/h,2.15,CONTRADICTED
HB-PEAK-RP-007,hubbard_constant,peak_runoff_rate_return_level,21.0,7.864,mm/h,1.05,CONTRADICTED
HB-PEAK-RP-008,hubbard_hardwood_095,peak_runoff_rate_return_level,45.0,27.359,mm/h,2.25,CONTRADICTED
SEF-PEAK-RP-007,santee_constant,peak_runoff_rate_return_level,55.0,39.277,mm/h,2.75,CONTRADICTED
SEF-PEAK-RP-008,santee_mixed,peak_runoff_rate_return_level,49.0,62.088,mm/h,2.45,CONTRADICTED
HB-PEAK-RP-009,hubbard_constant,peak_runoff_rate_return_level,37.0,10.221,mm/h,1.85,CONTRADICTED
HB-PEAK-RP-010,hubbard_hardwood_095,peak_runoff_rate_return_level,46.0,46.229,mm/h,2.3000000000000003,PASS_BOUNDED
SEF-PEAK-RP-009,santee_constant,peak_runoff_rate_return_level,56.0,41.081,mm/h,2.8000000000000003,CONTRADICTED
SEF-PEAK-RP-010,santee_mixed,peak_runoff_rate_return_level,52.0,62.355,mm/h,2.6,CONTRADICTED
HB-PEAK-RP-011,hubbard_constant,peak_runoff_rate_return_level,46.0,36.683,mm/h,2.3000000000000003,CONTRADICTED
HB-PEAK-RP-012,hubbard_hardwood_095,peak_runoff_rate_return_level,70.0,54.88,mm/h,3.5,CONTRADICTED
SEF-PEAK-RP-011,santee_constant,peak_runoff_rate_return_level,71.0,62.022,mm/h,3.5500000000000003,CONTRADICTED
SEF-PEAK-RP-012,santee_mixed,peak_runoff_rate_return_level,62.0,87.753,mm/h,3.1,CONTRADICTED
