Latitude: 43.950917  Longitude: -71.728739
X & Y on Lambert Conformal Conic: 2122666.36 516890.35
Tile: 11935
Elevation: 541 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S-C. Kao; and B.E. Wilson. 2022. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4 R1. ORNL DAAC; Oak Ridge; Tennessee; USA. https://doi.org/10.3334/ORNLDAAC/2129
year,yday,dayl (s),tmax (deg c),tmin (deg c),vp (Pa)
1989,99,46536.12,7.43,-7.86,338.12
1989,100,46717.99,3.85,-8.04,333.40
1989,101,46899.28,2.95,-10.23,280.66
1989,102,47079.94,5.51,-9.74,291.89
1989,103,47259.94,6.69,-6.43,377.73
1989,104,47439.25,6.93,-3.87,458.77
1989,105,47617.82,5.68,-3.04,488.24
1989,106,47795.61,3.66,-0.95,569.94
1989,107,47972.59,15.47,-0.59,585.14
1989,108,48148.71,13.65,1.52,681.68
1989,109,48323.92,9.47,-1.13,562.50
1989,110,48498.19,7.97,-5.35,410.31
1989,111,48671.47,10.99,-5.86,394.70
1989,112,48843.72,3.63,-5.95,391.76
1989,113,49014.88,2.92,-8.11,331.64
1989,114,49184.91,5.91,-4.84,426.32
1989,115,49353.76,8.08,-5.02,420.73
1989,116,49521.38,12.30,-3.78,461.91
1989,117,49687.71,9.74,-4.05,452.58
1989,118,49852.72,7.99,-2.14,521.98
1989,119,50016.33,12.39,-5.21,403.62
1989,120,50178.50,15.75,1.71,671.88
1989,121,50339.18,19.16,4.60,848.06
1989,122,50498.29,11.86,5.89,927.40
1989,123,50655.80,9.27,4.03,814.84
1989,124,50811.63,15.95,-0.36,594.72
1989,125,50965.73,15.19,-0.04,608.73
1989,126,51118.04,17.75,3.60,790.30
1989,127,51268.49,17.14,5.52,903.87
1989,128,51417.03,11.53,-0.64,582.77
1989,129,51563.58,12.61,-1.81,534.71
1989,130,51708.09,13.87,0.01,611.09
1989,131,51850.48,11.22,3.96,810.93
1989,132,51990.70,15.17,7.06,1005.31
1989,133,52128.68,14.78,7.30,1022.17
1989,134,52264.34,18.69,7.21,1016.20
1989,135,52397.63,20.18,4.45,839.35
1989,136,52528.47,21.41,5.55,905.91
1989,137,52656.80,25.07,5.17,882.14
1989,138,52782.54,27.89,7.09,1007.95
1989,139,52905.63,28.58,8.38,1100.28
1989,140,53026.00,28.37,9.59,1194.29
1989,141,53143.58,24.52,8.74,1127.68
1989,142,53258.30,17.16,5.92,929.45
1989,143,53370.09,21.79,6.42,962.08
1989,144,53478.90,17.35,9.38,1177.03
1989,145,53584.64,23.02,9.86,1215.64
1989,146,53687.25,22.42,11.26,1335.03
1989,147,53786.66,18.59,9.31,1171.54
1989,148,53882.82,14.44,4.94,868.27
1989,149,53975.66,21.49,2.77,745.44
1989,150,54065.11,19.42,7.68,1049.33
1989,151,54151.11,18.90,11.34,1341.98
1989,152,54233.61,25.64,13.00,1496.76
1989,153,54312.54,22.78,13.20,1516.63
1989,154,54387.85,24.11,10.15,1239.65
1989,155,54459.48,21.93,10.50,1269.23
1989,156,54527.39,21.51,7.14,1010.74
1989,157,54591.51,15.79,9.01,1148.02
1989,158,54651.81,20.04,10.43,1262.92
1989,159,54708.23,18.61,11.76,1379.64
1989,160,54760.73,16.51,10.35,1256.34
1989,161,54809.28,15.95,7.45,1032.58
1989,162,54853.83,17.03,8.30,1094.23
1989,163,54894.35,19.51,6.03,936.33
1989,164,54930.80,13.85,5.86,925.61
1989,165,54963.16,20.10,6.93,996.47
1989,166,54991.41,13.17,8.02,1073.58
1989,167,55015.51,14.91,7.46,1033.49
1989,168,55035.45,20.97,9.79,1210.58
1989,169,55051.21,20.40,10.56,1274.41
1989,170,55062.78,23.13,9.88,1217.22
1989,171,55070.16,25.68,9.15,1159.08
1989,172,55073.32,26.36,12.58,1456.36
1989,173,55072.28,29.00,14.75,1677.35
1989,174,55067.03,28.35,13.34,1530.29
1989,175,55057.57,22.16,13.18,1514.70
1989,176,55043.92,25.75,10.33,1255.02
1989,177,55026.09,26.95,11.34,1341.59
1989,178,55004.08,28.84,13.60,1557.22
1989,179,54977.93,24.40,14.36,1635.88
1989,180,54947.64,18.67,9.40,1178.73
1989,181,54913.24,22.23,4.98,871.04
1989,182,54874.77,21.43,7.71,1051.52
1989,183,54832.25,26.34,10.59,1277.02
1989,184,54785.71,23.68,13.38,1534.67
1989,185,54735.20,23.91,14.19,1617.30
1989,186,54680.75,20.89,14.77,1678.85
1989,187,54622.40,26.20,15.36,1744.55
1989,188,54560.20,25.97,14.33,1632.19
1989,189,54494.20,22.44,11.16,1326.30
1989,190,54424.44,23.97,7.83,1059.97
1989,191,54350.98,21.60,9.48,1185.51
1989,192,54273.87,22.25,10.18,1242.55
1989,193,54193.16,23.89,9.24,1166.41
1989,194,54108.92,24.91,8.75,1128.29
1989,195,54021.20,20.85,10.79,1293.59
1989,196,53930.07,23.05,8.69,1123.99
1989,197,53835.58,24.11,8.16,1084.20
1989,198,53737.79,22.11,10.63,1280.20
1989,199,53636.78,25.61,11.54,1359.93
1989,200,53532.61,25.35,12.31,1430.93
1989,201,53425.35,21.94,13.14,1511.14
1989,202,53315.06,24.47,10.83,1297.41
1989,203,53201.80,26.34,12.05,1406.34
1989,204,53085.66,26.58,13.78,1575.04
1989,205,52966.68,27.50,11.92,1394.68
1989,206,52844.96,29.51,14.14,1612.39
1989,207,52720.55,30.13,15.54,1764.16
1989,208,52593.51,30.44,16.03,1821.36
1989,209,52463.93,23.34,14.96,1700.34
1989,210,52331.87,20.52,6.91,995.12
1989,211,52197.40,22.66,7.75,1054.39
1989,212,52060.58,24.25,7.57,1041.26
1989,213,51921.48,25.13,8.24,1089.73
1989,214,51780.18,25.33,9.95,1222.83
1989,215,51636.73,25.39,13.37,1533.78
1989,216,51491.20,26.40,15.70,1782.64
1989,217,51343.65,25.47,17.19,1959.84
1989,218,51194.16,27.01,16.03,1820.41
1989,219,51042.78,23.40,14.51,1651.81
1989,220,50889.58,19.22,9.34,1174.40
1989,221,50734.61,21.10,4.59,847.23
1989,222,50577.94,23.61,6.65,977.82
1989,223,50419.63,19.80,9.25,1166.73
1989,224,50259.73,19.21,11.07,1317.87
1989,225,50098.31,23.66,12.33,1433.05
1989,226,49935.42,25.00,14.61,1661.64
1989,227,49771.11,25.91,13.81,1577.67
1989,228,49605.44,24.28,14.98,1702.43
1989,229,49438.46,21.98,9.10,1155.24
1989,230,49270.22,22.70,6.82,989.28
1989,231,49100.78,23.38,7.81,1058.79
1989,232,48930.19,22.25,12.48,1446.98
1989,233,48758.48,24.59,13.99,1596.47
1989,234,48585.72,21.11,12.14,1415.13
1989,235,48411.94,20.06,10.84,1297.95
1989,236,48237.20,17.16,6.84,990.27
1989,237,48061.53,15.57,1.85,698.13
1989,238,47884.98,16.62,3.04,759.50
1989,239,47707.59,20.64,1.59,685.23
1989,240,47529.41,22.00,6.75,984.01
1989,241,47350.47,20.63,10.48,1267.43
1989,242,47170.81,23.60,12.72,1469.53
1989,243,46990.48,17.96,8.83,1134.57
1989,244,46809.50,18.73,7.21,1016.04
1989,245,46627.92,18.88,9.01,1148.43
1989,246,46445.77,16.83,3.72,797.34
1989,247,46263.09,19.11,2.17,714.19
1989,248,46079.91,18.98,4.21,825.15
1989,249,45896.27,21.71,4.45,839.36
1989,250,45712.19,24.16,7.23,1017.44
1989,251,45527.72,25.31,10.08,1233.89
1989,252,45342.88,27.50,11.96,1398.37
1989,253,45157.70,28.57,14.68,1669.86
1989,254,44972.22,24.68,15.45,1754.76
1989,255,44786.46,21.32,11.73,1377.35
1989,256,44600.46,21.39,8.82,1133.53
1989,257,44414.25,18.27,10.10,1235.75
1989,258,44227.85,18.43,9.59,1194.05
1989,259,44041.29,17.48,4.88,864.72
1989,260,43854.60,17.20,7.41,1029.75
1989,261,43667.82,19.77,9.75,1207.11
1989,262,43480.97,16.80,9.61,1195.65
1989,263,43294.07,18.45,11.88,1390.55
1989,264,43107.16,23.96,12.65,1462.90
1989,265,42920.26,24.33,11.82,1385.71
1989,266,42733.41,19.34,7.06,1005.47
1989,267,42546.62,10.03,1.25,668.44
1989,268,42359.94,14.09,-2.58,505.01
1989,269,42173.38,12.85,1.18,665.07
1989,270,41986.98,9.14,-1.00,567.59
1989,271,41800.76,16.11,-2.97,490.92
1989,272,41614.76,18.00,1.23,667.59
1989,273,41429.00,14.77,-0.09,606.72
1989,274,41243.52,18.16,-0.98,568.58
1989,275,41058.34,14.76,3.33,775.56
1989,276,40873.49,14.28,3.52,786.10
1989,277,40689.02,6.48,-1.39,551.67
1989,278,40504.94,10.10,-2.72,499.92
1989,279,40321.29,10.37,1.14,663.22
1989,280,40138.11,9.89,1.97,704.00
1989,281,39955.42,6.88,-0.01,610.18
1989,282,39773.27,6.48,-2.62,503.78
1989,283,39591.69,8.15,-4.97,422.27
1989,284,39410.71,8.86,-1.93,530.27
1989,285,39230.37,15.30,0.29,623.70
1989,286,39050.71,16.57,0.12,616.09
1989,287,38871.76,14.68,-0.82,575.08
1989,288,38693.57,12.87,1.96,703.34
1989,289,38516.18,15.74,7.35,1025.75
1989,290,38339.63,10.54,4.92,867.28
1989,291,38163.95,5.08,0.53,634.47
1989,292,37989.20,7.61,-0.06,608.15
1989,293,37815.42,14.70,1.49,680.17
1989,294,37642.65,9.32,1.51,680.91
1989,295,37470.94,6.83,-1.47,548.45
1989,296,37300.33,14.50,-2.14,522.09
1989,297,37130.88,16.14,-1.50,547.19
1989,298,36962.64,18.54,-1.01,567.41
1989,299,36795.65,17.48,0.51,633.77
1989,300,36629.97,18.99,4.85,862.99
1989,301,36465.66,19.79,6.38,959.73
1989,302,36302.75,18.95,3.94,809.41
1989,303,36141.32,18.10,1.84,697.31
1989,304,35981.41,13.80,4.11,819.07
1989,305,35823.09,11.42,3.66,793.77
1989,306,35666.41,7.50,-1.59,543.60
1989,307,35511.43,4.23,-2.02,526.59
1989,308,35358.22,0.62,-7.87,338.04
1989,309,35206.83,5.26,-7.59,345.24
1989,310,35057.32,8.36,-2.26,517.35
1989,311,34909.77,8.66,-1.55,545.10
1989,312,34764.22,6.97,1.24,667.96
1989,313,34620.76,9.20,2.83,748.69
1989,314,34479.44,7.88,-1.93,530.14
1989,315,34340.33,6.19,-2.27,517.13
1989,316,34203.49,3.53,-3.53,470.75
1989,317,34069.00,5.82,-6.95,362.89
1989,318,33936.92,15.32,-2.81,496.75
1989,319,33807.33,15.68,2.27,719.03
1989,320,33680.28,15.13,5.85,924.80
1989,321,33555.85,3.67,-3.35,476.99
1989,322,33434.11,-0.25,-6.12,386.78
1989,323,33315.12,-1.00,-7.73,341.54
1989,324,33198.95,1.42,-7.07,359.63
1989,325,33085.68,-2.36,-9.95,287.09
1989,326,32975.36,-6.79,-12.76,229.23
1989,327,32868.08,-6.65,-13.78,210.94
1989,328,32763.89,-4.09,-19.34,132.16
1989,329,32662.86,-1.57,-15.43,184.05
1989,330,32565.06,1.45,-7.39,350.83
1989,331,32470.54,1.15,-10.84,267.50
1989,332,32379.39,5.24,-9.86,289.09
1989,333,32291.64,-5.74,-14.26,202.73
1989,334,32207.38,-5.67,-16.32,170.89
1989,335,32126.65,-10.20,-17.06,160.50
1989,336,32049.51,-9.18,-22.32,101.96
1989,337,31976.03,-5.28,-18.19,145.95
1989,338,31906.25,-12.65,-18.83,138.15
1989,339,31840.22,-7.85,-23.02,95.81
1989,340,31777.99,-1.68,-20.24,122.37
1989,341,31719.62,-6.26,-17.98,148.54
1989,342,31665.14,-12.94,-22.70,98.56
1989,343,31614.60,-8.47,-25.05,79.78
1989,344,31568.04,-6.48,-22.01,104.73
1989,345,31525.50,-6.47,-16.16,173.15
1989,346,31487.00,-9.51,-19.10,135.00
1989,347,31452.57,-11.25,-21.01,114.35
1989,348,31422.26,-13.77,-22.60,99.43
1989,349,31396.08,-9.41,-23.80,89.35
1989,350,31374.04,-8.58,-21.07,113.76
1989,351,31356.18,-8.84,-17.13,159.56
1989,352,31342.50,-8.15,-17.41,155.86
1989,353,31333.02,-8.41,-18.52,141.86
1989,354,31327.74,-8.64,-20.32,121.46
1989,355,31326.67,-13.85,-23.15,94.66
1989,356,31329.81,-15.28,-25.52,76.47
1989,357,31337.15,-13.25,-25.89,73.93
1989,358,31348.70,-10.93,-28.90,55.92
1989,359,31364.43,-8.43,-25.71,75.14
1989,360,31384.35,-6.96,-19.51,130.23
1989,361,31408.42,-12.61,-25.01,80.09
1989,362,31436.64,-8.68,-22.18,103.21
1989,363,31468.97,-11.36,-23.26,93.75
1989,364,31505.40,-4.36,-21.79,106.82
1989,365,31545.89,2.80,-15.40,184.50
1990,1,31590.62,2.47,-9.05,308.21
1990,2,31639.16,0.03,-13.44,216.79
1990,3,31691.65,3.09,-11.06,262.76
1990,4,31748.07,5.64,-6.70,370.06
1990,5,31808.35,1.91,-6.87,365.11
1990,6,31872.47,-1.55,-11.64,250.74
1990,7,31940.37,-2.36,-15.59,181.55
1990,8,32011.99,2.90,-10.86,266.92
1990,9,32087.29,2.30,-10.27,279.93
1990,10,32166.22,0.91,-7.36,351.54
1990,11,32248.70,0.35,-5.13,417.09
1990,12,32334.70,-1.26,-6.83,366.35
1990,13,32424.14,-8.18,-13.11,222.79
1990,14,32516.97,-9.93,-20.28,121.90
1990,15,32613.12,-4.09,-17.36,156.58
1990,16,32712.53,3.81,-10.04,285.00
1990,17,32815.14,5.31,-6.47,376.62
1990,18,32920.87,8.23,-2.24,518.14
1990,19,33029.66,-2.04,-9.42,299.33
1990,20,33141.45,-2.89,-14.75,194.74
1990,21,33256.17,-5.17,-12.41,235.69
1990,22,33373.74,-4.76,-12.74,229.48
1990,23,33494.10,0.09,-13.32,218.99
1990,24,33617.19,1.73,-10.67,271.10
1990,25,33742.93,3.49,-4.94,423.16
1990,26,33871.25,3.20,-4.27,445.27
1990,27,34002.08,3.09,-6.40,378.47
1990,28,34135.36,3.48,-7.47,348.65
1990,29,34271.02,-2.00,-8.73,316.00
1990,30,34408.99,0.07,-6.90,364.37
1990,31,34549.21,3.00,-10.85,267.24
1990,32,34691.60,5.08,-11.09,262.16
1990,33,34836.10,1.57,-10.83,267.69
1990,34,34982.65,-6.43,-16.64,166.35
1990,35,35131.18,-7.24,-13.35,218.33
1990,36,35281.63,-3.91,-17.34,156.76
1990,37,35433.93,0.02,-16.31,170.96
1990,38,35588.03,4.64,-11.82,247.24
1990,39,35743.86,7.80,-10.38,277.50
1990,40,35901.36,8.37,-5.99,390.75
1990,41,36060.47,3.86,-5.22,414.19
1990,42,36221.14,-0.36,-10.34,278.36
1990,43,36383.31,-1.22,-13.23,220.63
1990,44,36546.92,2.57,-14.38,200.71
1990,45,36711.92,1.15,-10.26,280.00
1990,46,36878.26,-4.42,-11.18,260.27
1990,47,37045.87,1.12,-9.79,290.77
1990,48,37214.72,-0.95,-12.03,243.18
1990,49,37384.75,-2.03,-22.09,104.00
1990,50,37555.91,2.11,-17.15,159.36
1990,51,37728.15,-7.15,-18.98,136.40
1990,52,37901.43,5.30,-22.04,104.52
1990,53,38075.69,11.03,-12.57,232.63
1990,54,38250.91,9.16,-2.79,497.50
1990,55,38427.02,-3.93,-10.74,269.55
1990,56,38604.00,-9.59,-17.29,157.47
1990,57,38781.79,-10.79,-23.91,88.49
1990,58,38960.36,-5.44,-22.35,101.71
1990,59,39139.66,-5.93,-18.39,143.40
1990,60,39319.67,0.43,-21.18,112.72
1990,61,39500.33,8.06,-11.98,244.07
1990,62,39681.61,4.94,-6.82,366.57
1990,63,39863.48,-3.70,-11.00,264.01
1990,64,40045.90,-6.47,-19.61,129.16
1990,65,40228.84,-6.13,-21.34,111.17
1990,66,40412.25,-3.69,-20.92,115.31
1990,67,40596.12,2.92,-17.95,148.96
1990,68,40780.40,9.54,-12.54,233.34
1990,69,40965.06,10.58,-7.88,337.58
1990,70,41150.08,9.18,-4.14,449.40
1990,71,41335.41,7.02,-0.88,572.79
1990,72,41521.03,11.07,0.52,634.38
1990,73,41706.92,9.61,1.22,667.21
1990,74,41893.03,17.10,1.40,675.93
1990,75,42079.34,15.59,1.24,668.19
1990,76,42265.82,16.11,3.80,801.38
1990,77,42452.45,8.57,0.28,623.36
1990,78,42639.19,7.07,-4.57,435.21
1990,79,42826.01,2.99,-2.07,524.60
1990,80,43012.89,3.83,-1.99,527.89
1990,81,43199.80,8.20,-6.31,381.32
1990,82,43386.70,6.59,-6.12,386.68
1990,83,43573.58,-0.85,-11.98,244.14
1990,84,43760.41,3.00,-11.61,251.35
1990,85,43947.14,1.60,-11.02,263.62
1990,86,44133.77,-3.72,-16.04,174.95
1990,87,44320.25,1.48,-14.78,194.28
1990,88,44506.57,2.34,-13.22,220.71
1990,89,44692.68,1.79,-8.91,311.49
1990,90,44878.56,6.79,-4.67,431.91
1990,91,45064.18,9.82,-0.83,574.95
1990,92,45249.52,5.56,-0.20,601.76
1990,93,45434.53,6.05,0.47,632.06
1990,94,45619.20,8.28,0.63,639.28
1990,95,45803.48,5.51,-0.85,574.12
1990,96,45987.34,5.16,-4.25,445.84
1990,97,46170.76,2.83,-5.14,416.67
1990,98,46353.70,3.98,-6.36,379.77
1990,99,46536.12,8.28,-7.63,344.20
1990,100,46717.99,7.55,-2.69,501.09
1990,101,46899.28,6.91,-2.13,522.20
1990,102,47079.94,1.90,-5.51,405.19
1990,103,47259.94,5.43,-8.82,313.80
1990,104,47439.25,9.27,-6.95,362.79
1990,105,47617.82,7.76,-2.38,512.93
1990,106,47795.61,11.17,-0.74,578.52
1990,107,47972.59,6.23,-3.82,460.32
1990,108,48148.71,4.15,-7.15,357.34
1990,109,48323.92,11.26,-7.83,338.91
1990,110,48498.19,11.50,-2.09,523.93
1990,111,48671.47,11.80,2.59,735.81
1990,112,48843.72,15.77,-1.22,558.60
1990,113,49014.88,15.27,0.87,650.21
1990,114,49184.91,16.54,-2.07,524.85
1990,115,49353.76,13.71,2.03,707.13
1990,116,49521.38,24.00,5.81,899.40
1990,117,49687.71,28.65,8.39,1027.51
1990,118,49852.72,26.66,8.48,1053.73
1990,119,50016.33,13.95,5.20,884.25
1990,120,50178.50,13.98,4.90,865.74
1990,121,50339.18,18.15,6.12,942.36
1990,122,50498.29,14.25,5.00,872.27
1990,123,50655.80,15.00,-2.71,489.19
1990,124,50811.63,16.27,-2.04,525.90
1990,125,50965.73,8.49,0.34,626.14
1990,126,51118.04,11.07,-0.09,606.83
1990,127,51268.49,10.67,0.44,630.43
1990,128,51417.03,14.62,-1.90,531.29
1990,129,51563.58,22.61,2.64,738.37
1990,130,51708.09,16.99,6.23,949.85
1990,131,51850.48,13.36,3.92,808.16
1990,132,51990.70,15.69,-1.17,560.75
1990,133,52128.68,11.87,2.91,752.55
1990,134,52264.34,19.64,4.46,839.68
1990,135,52397.63,19.85,3.58,789.44
1990,136,52528.47,17.53,6.20,947.63
1990,137,52656.80,11.52,6.61,975.05
1990,138,52782.54,11.88,3.66,793.54
1990,139,52905.63,10.55,3.40,779.42
1990,140,53026.00,10.80,2.60,736.25
1990,141,53143.58,7.16,2.19,715.33
1990,142,53258.30,8.79,2.03,707.13
1990,143,53370.09,10.71,2.23,717.12
1990,144,53478.90,16.21,-0.52,588.16
1990,145,53584.64,19.63,-0.33,596.10
1990,146,53687.25,22.01,2.03,707.11
1990,147,53786.66,22.54,4.28,828.91
1990,148,53882.82,23.37,4.99,871.56
1990,149,53975.66,16.52,7.16,1012.13
1990,150,54065.11,13.96,5.57,907.27
1990,151,54151.11,18.57,-0.09,606.84
1990,152,54233.61,24.35,4.27,828.38
1990,153,54312.54,25.80,6.09,940.76
1990,154,54387.85,24.34,11.61,1365.83
1990,155,54459.48,17.21,9.54,1189.77
1990,156,54527.39,13.71,1.28,670.11
1990,157,54591.51,15.61,0.10,615.35
1990,158,54651.81,21.64,4.92,867.21
1990,159,54708.23,21.55,6.16,945.16
1990,160,54760.73,20.32,9.99,1226.84
1990,161,54809.28,17.50,11.36,1343.86
1990,162,54853.83,15.65,9.02,1148.82
1990,163,54894.35,22.71,3.84,803.71
1990,164,54930.80,24.12,5.19,883.32
1990,165,54963.16,23.39,9.21,1163.82
1990,166,54991.41,25.85,12.00,1401.99
1990,167,55015.51,25.72,12.64,1461.86
1990,168,55035.45,26.88,14.10,1607.72
1990,169,55051.21,26.00,16.36,1859.45
1990,170,55062.78,24.87,14.82,1685.28
1990,171,55070.16,21.05,13.61,1557.88
1990,172,55073.32,20.54,13.73,1570.08
1990,173,55072.28,24.58,12.91,1488.63
1990,174,55067.03,20.46,13.95,1592.74
1990,175,55057.57,22.54,14.04,1601.46
1990,176,55043.92,22.87,11.23,1332.51
1990,177,55026.09,25.16,9.73,1205.03
1990,178,55004.08,23.38,11.30,1338.19
1990,179,54977.93,20.38,10.45,1264.75
1990,180,54947.64,17.98,4.98,870.47
1990,181,54913.24,17.98,9.19,1162.03
1990,182,54874.77,19.07,10.32,1253.99
1990,183,54832.25,21.89,10.43,1263.49
1990,184,54785.71,24.00,9.72,1204.89
1990,185,54735.20,25.36,13.10,1506.54
1990,186,54680.75,21.80,14.16,1614.33
1990,187,54622.40,19.47,4.99,871.32
1990,188,54560.20,20.42,4.65,851.17
1990,189,54494.20,22.85,6.31,954.74
1990,190,54424.44,25.45,11.89,1392.01
1990,191,54350.98,23.57,12.54,1452.38
1990,192,54273.87,20.80,7.76,1055.22
1990,193,54193.16,18.95,7.53,1038.18
1990,194,54108.92,23.00,8.35,1098.19
1990,195,54021.20,25.74,6.67,978.95
1990,196,53930.07,28.44,12.30,1430.12
1990,197,53835.58,26.98,17.06,1944.52
1990,198,53737.79,27.07,12.79,1476.07
1990,199,53636.78,28.32,14.23,1621.41
1990,200,53532.61,27.02,14.82,1684.64
1990,201,53425.35,26.05,12.19,1419.22
1990,202,53315.06,25.61,13.55,1551.28
1990,203,53201.80,25.34,12.66,1464.13
1990,204,53085.66,21.69,15.27,1734.14
1990,205,52966.68,23.54,15.43,1752.58
1990,206,52844.96,26.04,14.24,1623.28
1990,207,52720.55,26.41,14.28,1626.48
1990,208,52593.51,26.38,13.84,1581.07
1990,209,52463.93,26.86,13.54,1551.00
1990,210,52331.87,27.29,13.78,1575.04
1990,211,52197.40,26.58,13.71,1568.10
1990,212,52060.58,25.73,11.30,1338.23
1990,213,51921.48,22.89,11.92,1394.73
1990,214,51780.18,25.04,9.12,1157.21
1990,215,51636.73,27.98,11.69,1373.09
1990,216,51491.20,28.96,11.97,1398.98
1990,217,51343.65,25.99,13.07,1503.46
1990,218,51194.16,19.69,14.79,1681.31
1990,219,51042.78,20.66,14.80,1682.14
