lane_id,multiplier,source,primary_peak_ratio,chronology_abs_error_days,median_effective_input_ratio,median_storage_ratio,classification,selected_multiplier
snotel_paradise_wa,1.5,retained,0.7971600611403442,12.0,1.1005352500871102,0.7316652486787182,BRACKETED_CANDIDATE,1.8
snotel_paradise_wa,1.6,extension,0.8603904370834495,6.0,1.1742823303819347,0.8083441181737838,BRACKETED_CANDIDATE,1.8
snotel_paradise_wa,1.7,extension,0.9236001541158215,3.0,1.2480615445779786,0.8849858003824531,BRACKETED_CANDIDATE,1.8
snotel_paradise_wa,1.8,extension,0.9885452477714344,0.0,1.3218520183601752,0.9616266770411882,BRACKETED_CANDIDATE,1.8
snotel_paradise_wa,1.9,extension,1.0564564106756114,0.0,1.3956664944089592,1.0266415839676866,BRACKETED_CANDIDATE,1.8
snotel_paradise_wa,2.0,extension,1.124547113419928,0.0,1.4695259520004298,1.0914769339807613,BRACKETED_CANDIDATE,1.8
snotel_snowbird_ut,1.0,retained,0.3899826506038172,44.5,0.6969282699678451,0.21051355860535897,EXPERIMENT_BUDGET_BOUNDARY,2.0
snotel_snowbird_ut,1.1,retained,0.44701715849446866,45.0,0.766765046321867,0.2813372252719791,EXPERIMENT_BUDGET_BOUNDARY,2.0
snotel_snowbird_ut,1.2,retained,0.5096537024731289,45.0,0.8364102285074435,0.35215181427389386,EXPERIMENT_BUDGET_BOUNDARY,2.0
snotel_snowbird_ut,1.3,retained,0.5664145444046862,45.0,0.9062333265522984,0.42303535029071837,EXPERIMENT_BUDGET_BOUNDARY,2.0
snotel_snowbird_ut,1.4,retained,0.6185121906318949,40.0,0.97614678750595,0.4881292975237126,EXPERIMENT_BUDGET_BOUNDARY,2.0
snotel_snowbird_ut,1.5,retained,0.6762789717281439,35.5,1.0461208148084522,0.546315493592227,EXPERIMENT_BUDGET_BOUNDARY,2.0
snotel_snowbird_ut,1.6,extension,0.7339869160940193,30.0,1.122276969588008,0.6103091889122443,EXPERIMENT_BUDGET_BOUNDARY,2.0
snotel_snowbird_ut,1.7,extension,0.7917535642431452,30.0,1.1926114309261056,0.6723529741155444,EXPERIMENT_BUDGET_BOUNDARY,2.0
snotel_snowbird_ut,1.8,extension,0.8495704150146213,30.0,1.262908196332548,0.7368916127321192,EXPERIMENT_BUDGET_BOUNDARY,2.0
snotel_snowbird_ut,1.9,extension,0.9084893499337188,24.5,1.3331635534551523,0.8244953678788269,EXPERIMENT_BUDGET_BOUNDARY,2.0
snotel_snowbird_ut,2.0,extension,0.9767364142055928,23.0,1.4053912888635514,0.8976924551011136,EXPERIMENT_BUDGET_BOUNDARY,2.0
